#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
5.103465e+00 5.192849e-02 6.429852e+52 1.395096e+46 2.348007e+41 1.930347e-09 2.643807e+09 5.407040e+20 
5.155394e+00 5.245687e-02 6.332436e+52 1.402062e+46 2.312620e+41 1.949989e-09 2.643807e+09 5.352577e+20 
5.207851e+00 5.299063e-02 6.236491e+52 1.409062e+46 2.277767e+41 1.969830e-09 2.643807e+09 5.298662e+20 
5.260841e+00 5.352982e-02 6.141996e+52 1.416096e+46 2.243439e+41 1.989873e-09 2.643807e+09 5.245291e+20 
5.314371e+00 5.407449e-02 6.048929e+52 1.423164e+46 2.209628e+41 2.010121e-09 2.643807e+09 5.192457e+20 
5.368446e+00 5.462471e-02 5.957267e+52 1.430266e+46 2.176327e+41 2.030574e-09 2.643807e+09 5.140155e+20 
5.423070e+00 5.518052e-02 5.866990e+52 1.437403e+46 2.143528e+41 2.051235e-09 2.643807e+09 5.088380e+20 
5.478251e+00 5.574199e-02 5.778077e+52 1.444574e+46 2.111223e+41 2.072107e-09 2.643807e+09 5.037127e+20 
5.533993e+00 5.630917e-02 5.690507e+52 1.451780e+46 2.079406e+41 2.093191e-09 2.643807e+09 4.986389e+20 
5.590302e+00 5.688213e-02 5.604260e+52 1.459021e+46 2.048067e+41 2.114489e-09 2.643807e+09 4.936163e+20 
5.647184e+00 5.746091e-02 5.519316e+52 1.466297e+46 2.017201e+41 2.136005e-09 2.643807e+09 4.886443e+20 
5.704645e+00 5.804558e-02 5.435655e+52 1.473608e+46 1.986800e+41 2.157739e-09 2.643807e+09 4.837223e+20 
5.762691e+00 5.863620e-02 5.353258e+52 1.480954e+46 1.956857e+41 2.179694e-09 2.643807e+09 4.788500e+20 
5.821327e+00 5.923284e-02 5.272106e+52 1.488336e+46 1.927366e+41 2.201873e-09 2.643807e+09 4.740267e+20 
5.880560e+00 5.983554e-02 5.192181e+52 1.495753e+46 1.898319e+41 2.224277e-09 2.643807e+09 4.692520e+20 
5.940395e+00 6.044437e-02 5.113463e+52 1.503206e+46 1.869709e+41 2.246910e-09 2.643807e+09 4.645254e+20 
6.000840e+00 6.105940e-02 5.035934e+52 1.510695e+46 1.841531e+41 2.269772e-09 2.643807e+09 4.598464e+20 
6.061899e+00 6.168069e-02 4.959576e+52 1.518220e+46 1.813778e+41 2.292867e-09 2.643807e+09 4.552145e+20 
6.123580e+00 6.230830e-02 4.884373e+52 1.525781e+46 1.786442e+41 2.316198e-09 2.643807e+09 4.506293e+20 
6.185888e+00 6.294230e-02 4.810305e+52 1.533379e+46 1.759519e+41 2.339765e-09 2.643807e+09 4.460902e+20 
6.248830e+00 6.358275e-02 4.737357e+52 1.541013e+46 1.733002e+41 2.363573e-09 2.643807e+09 4.415969e+20 
6.312413e+00 6.422971e-02 4.665511e+52 1.548684e+46 1.706884e+41 2.387622e-09 2.643807e+09 4.371489e+20 
6.376643e+00 6.488326e-02 4.594751e+52 1.556392e+46 1.681160e+41 2.411917e-09 2.643807e+09 4.327456e+20 
6.441526e+00 6.554345e-02 4.525060e+52 1.564136e+46 1.655823e+41 2.436458e-09 2.643807e+09 4.283867e+20 
6.507069e+00 6.621037e-02 4.456422e+52 1.571918e+46 1.630868e+41 2.461250e-09 2.643807e+09 4.240717e+20 
6.573280e+00 6.688407e-02 4.388822e+52 1.579737e+46 1.606290e+41 2.486293e-09 2.643807e+09 4.198002e+20 
